Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000139721800948994,-0.00891990633462313,0.0545743288244702,0,0,0,0.159950800278919,0.000101651221170877,-5.0302731567758E-07,-3.14720393619454E-07,8.30155851213787E-05,-1.16211311274557E-07,7.63971955860526E-05,0,0,0,0,0,0,package://modified_1/meshes/base_link.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://modified_1/meshes/base_link.STL,,setup2-1;front-cover.step-1;HC-SR04 Sensor-1;Sparkfun 9Dof IMU-1;servo-1;servo-2,Coordinate System11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_upper_leg,-0.00184708719841338,0.0236194038571965,-0.0188708471716911,0,0,0,0.00481811091694472,1.41741993389351E-06,1.13370741937808E-08,-9.26628865637623E-09,5.87668923661814E-07,6.66832782415844E-07,8.92789652693596E-07,0,0,0,0,0,0,package://modified_1/meshes/left_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://modified_1/meshes/left_upper_leg.STL,,left-leg-support-p1.step-1;left-leg-support-p2 (1).step-1,Coordinate System1,Axis1,"left_hip_joint ",revolute,0.051451,0.021878,0.068469,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_upper2_leg,-0.00414252921375139,3.83026943495679E-15,1.23859256184744E-14,0,0,0,8.36842188089572E-05,1.51263035687125E-10,-2.92510308208867E-23,-7.99236206421237E-24,8.84444398996497E-10,2.84074666803352E-26,8.84444398996497E-10,0,0,0,0,0,0,package://modified_1/meshes/left_upper2_leg.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://modified_1/meshes/left_upper2_leg.STL,,flat head screw_am-3,Coordinate System3,Axis3,left_upper_bottom_joint,revolute,0.00175,0.046852,-0.037482,0,0,0,left_upper_leg,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
left_white_link,-0.0035128478577741,0.0208055784097843,-0.0086248688053283,0,0,0,0.0136561808331651,6.17217211082797E-06,6.90443705596075E-08,-2.99499015266392E-08,1.32025085773524E-06,1.84139858414213E-06,5.01907606816515E-06,0,0,0,0,0,0,package://modified_1/meshes/left_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://modified_1/meshes/left_white_link.STL,,left-leg-main-p2.step-1;left-leg-main-p1 (1).step-1,Coordinate System2,Axis2,left_white_top_joint,revolute,0.054451,-0.00061239,0.048645,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_upper_leg,0.0018470863244802,0.0236194057798349,-0.0188708489279677,0,0,0,0.00481811136590154,1.41741991571169E-06,-1.13370762068015E-08,9.26628703428964E-09,5.87668942963517E-07,6.66832776669703E-07,8.92789616631109E-07,0,0,0,0,0,0,package://modified_1/meshes/right_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://modified_1/meshes/right_upper_leg.STL,,right-leg-support-p1.step-1;right-leg-support-p2-1,Coordinate System6,Axis6,right_hip_joint,revolute,-0.051549,0.021878,0.068469,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_upper2_leg,0.00343830185049016,-0.0478887488385379,-0.0181790664517871,0,0,0,0.0110711529598184,9.0007540379993E-06,1.30721587577093E-07,5.34887726648426E-08,1.93441596829522E-06,-2.43582565360887E-06,7.12253945459055E-06,0,0,0,0,0,0,package://modified_1/meshes/right_upper2_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://modified_1/meshes/right_upper2_leg.STL,,right-lower-leg.step-4,Coordinate System8,Axis4,right_upper_bottom_joint,revolute,-0.00175,0.046852,-0.037482,0,0,0,right_upper_leg,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_white_link,0.0035128479133551,0.0208055772281946,-0.00862486827103258,0,0,0,0.0136561799341694,6.17217108141907E-06,-6.90442920238213E-08,2.99499436830809E-08,1.3202508608405E-06,1.84139845052637E-06,5.01907498804432E-06,0,0,0,0,0,0,package://modified_1/meshes/right_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://modified_1/meshes/right_white_link.STL,,right-leg-main-p2.step-1;right-leg-main-p1-1,Coordinate System7,Axis7,right_white_top_joint,revolute,-0.054549,-0.00061239,0.048645,0,0,0,base_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_lower_leg,0.00414252921374671,0.013972663817677,0.00545570030685731,0,0,0,8.36842188089571E-05,1.51263035687125E-10,-6.94411586074605E-26,-1.97147809112245E-25,8.84444398996498E-10,1.49883571991994E-26,8.84444398996498E-10,0,0,0,0,0,0,package://modified_1/meshes/right_lower_leg.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://modified_1/meshes/right_lower_leg.STL,,flat head screw_am-1,Coordinate System9,Axis9,right_white_bottom_joint,revolute,0.00125000000000025,0.0553693860096955,-0.0231134396598499,0,0,0,right_white_link,1,0,0,10,1,-1.5708,1.5708,,,,,,,,
right_wheel,-0.0146672534556401,1.20019999952752E-05,8.21174448430162E-06,0,0,0,0.0821706494395544,5.18920315428755E-05,-8.54718605347196E-09,-5.84490823842263E-09,2.85519960093762E-05,-2.86830700470208E-08,2.85748220209757E-05,0,0,0,0,0,0,package://modified_1/meshes/right_wheel.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://modified_1/meshes/right_wheel.STL,,right-motor-cover.step-2;right-wheel.step-2;tpu-left-tread (1).step-3;GBM4108H-120t.stp-1,Coordinate System10,Axis10,right_wheel_joint,continuous,0.00282521267245033,-0.0558906552705933,-0.0218228012275585,0,0,0,right_lower_leg,-1,0,0,10,5,,,,,,,,,,
