Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000139721801491114,-0.00891990633346567,0.0545743288243184,0,0,0,0.159950800281223,0.000101651221169945,-5.03027315632965E-07,-3.14720393636409E-07,8.30155851218814E-05,-1.16211308639477E-07,7.63971955846295E-05,0,0,0,0,0,0,package://final_assem1/meshes/base_link.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/base_link.STL,,setup2-1;front-cover.step-1;HC-SR04 Sensor-1;Sparkfun 9Dof IMU-1;servo-1;servo-2,Coordinate System11,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_upper_leg,-0.00184708635185678,0.0100059621422932,-0.0285283368255314,0,0,0,0.00481811147020876,1.41741993918074E-06,4.69213357044146E-09,-1.38700106399785E-08,1.27343060592573E-06,4.28528860028656E-07,2.07027979604884E-07,0,0,0,0,0,0,package://final_assem1/meshes/left_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/left_upper_leg.STL,,left-leg-support-p1.step-1;left-leg-support-p2 (1).step-1,Coordinate System1,Axis1,"left_hip_joint ",revolute,0.051451,0.021878,0.068469,0,0,0,base_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
left_white_link,-0.00351284833519087,0.0128483484296868,-0.0184981200243466,0,0,0,0.0136561820327731,6.17217204117299E-06,4.19205286188994E-08,-6.25043138706162E-08,4.07412559256232E-06,2.44806528777692E-06,2.26520125441869E-06,0,0,0,0,0,0,package://final_assem1/meshes/left_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://final_assem1/meshes/left_white_link.STL,,left-leg-main-p2.step-1;left-leg-main-p1 (1).step-1,Coordinate System2,Axis2,left_white_top_joint,revolute,0.054451,-0.00061239,0.048645,0,0,0,base_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
left_lower_leg,0.00231170043375459,-0.020218633930963,-0.0300564744848089,0,0,0,0.0110711607256669,9.00075441423128E-06,-7.53431601817711E-08,-1.1946791590394E-07,5.98802246702853E-06,-3.24532440359061E-06,3.06893341498831E-06,0,0,0,0,0,0,package://final_assem1/meshes/left_lower_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/left_lower_leg.STL,,left-lower-leg.step-1,Coordinate System4,Axis4,left_white_bottom_joint,revolute,-0.007,0.034106,-0.049363,0,0,0,left_white_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
left_wheel,0.0163975042181896,1.4942408367094E-06,1.44789380471799E-05,0,0,0,0.0821704328888881,5.18918517468186E-05,1.09627495767423E-09,1.03037099311579E-08,2.85934695475492E-05,-6.63185847403858E-09,2.85331674559978E-05,0,0,0,0,0,0,package://final_assem1/meshes/left_wheel.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/left_wheel.STL,,left-motor-cover (1).step-3;left-wheel (1).step-3;tpu-left-tread (1).step-4;GBM4108H-120t.stp-2,Coordinate System5,Axis11,left_wheel_joint,continuous,0.0012149,-0.032821,-0.050227,0,0,0,left_lower_leg,0,1,0,10,5,,,,,,,,,,
right_upper_leg,0.00184708627605789,0.00527582762359724,-0.0297682879095216,0,0,0,0.00481811162392332,1.4174199151064E-06,-2.39468925659096E-09,1.44450248819537E-08,1.38207853254159E-06,2.36580110271676E-07,9.83800252413466E-08,0,0,0,0,0,0,package://final_assem1/meshes/right_upper_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/right_upper_leg.STL,,right-leg-support-p1.step-1;right-leg-support-p2-1,Coordinate System6,Axis6,right_hip_joint,revolute,-0.051549,0.021878,0.068469,0,0,0,base_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
right_white_link,0.00351284822399885,0.0104053715429721,-0.0199747016894158,0,0,0,0.013656181652782,6.17217197752315E-06,-3.36777800830508E-08,6.73047936266072E-08,4.65950990674751E-06,2.14276287575573E-06,1.6798168741624E-06,0,0,0,0,0,0,package://final_assem1/meshes/right_white_link.STL,1,1,1,1,0,0,0,0,0,0,package://final_assem1/meshes/right_white_link.STL,,right-leg-main-p2.step-1;right-leg-main-p1-1,Coordinate System7,Axis7,right_white_top_joint,revolute,-0.054549,-0.00061239,0.048645,0,0,0,base_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
right_lower_leg,0.00343829839865448,-0.0133321356992642,-0.033681435773528,0,0,0,0.0110711643117395,9.00075506732013E-06,4.80866984296022E-08,1.32803764739554E-07,7.2092196083704E-06,-2.34009087652803E-06,1.84773702007399E-06,0,0,0,0,0,0,package://final_assem1/meshes/right_lower_leg.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/right_lower_leg.STL,,right-lower-leg.step-4,Coordinate System9,Axis9,right_white_bottom_joint,revolute,0.00125,0.027589,-0.053281,0,0,0,right_white_link,0,1,0,10,1,-1.5708,1.5708,,,,,,,,
right_wheel,-0.0146672533221633,1.03931062572886E-05,1.01744143693044E-05,0,0,0,0.0821706718156144,5.18920334203968E-05,-7.40037922901773E-09,-7.2431054293338E-09,2.85625149520643E-05,-3.08581804877213E-08,2.85643061419357E-05,0,0,0,0,0,0,package://final_assem1/meshes/right_wheel.STL,0.831372549019608,0.690196078431373,0.411764705882353,1,0,0,0,0,0,0,package://final_assem1/meshes/right_wheel.STL,,right-motor-cover.step-2;right-wheel.step-2;tpu-left-tread (1).step-3;GBM4108H-120t.stp-1,Coordinate System10,Axis10,right_wheel_joint,continuous,0.0028252,-0.021336,-0.056078,0,0,0,right_lower_leg,-1,0,0,10,5,,,,,,,,,,
