Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.46944695195361E-17,0.0541343106662228,-0.0500000000000001,0,0,0,0.317885063070022,0.000805530112810557,1.3041432030326E-18,-1.6823593501364E-19,0.00137768813732968,-6.58270704345859E-20,0.00134993322209962,0,0,0,0,0,0,package://JJ1_2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JJ1_2/meshes/base_link.STL,,lst_1-1,Coordinate System7,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_leg,-0.00999999999999997,-0.0449694323881673,-0.077889341683839,0,0,0,0.101695020621345,0.000516418820763554,8.82811163187619E-20,1.58978901600665E-19,0.000386210698184656,-0.000212287066998379,0.000141082707630677,0,0,0,0,0,0,package://JJ1_2/meshes/left_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JJ1_2/meshes/left_leg.STL,,lst_2-3,Coordinate System1,Axis1,left_hip_joint,revolute,0.095,0,-0.05,0,0,0,base_link,1,0,0,25,5,-1.57,1.57,,,,,,,,
left_lower_leg,-0.0104518404280339,-0.0504218920181224,0.0873332787891406,0,0,0,0.0833200536847903,0.000384202540438722,1.98939997649913E-07,-3.44574183587276E-07,0.000283396943067376,0.000157071553743909,0.000102026335395215,0,0,0,0,0,0,package://JJ1_2/meshes/left_lower_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JJ1_2/meshes/left_lower_leg.STL,,lst_3-4,Coordinate System4,Axis4,lwft_lower_joint,revolute,0,-0.1,-0.17321,0,0,0,left_leg,1,0,0,25,5,-1.57,1.57,,,,,,,,
left_wheel,-0.00986648847589566,3.04027841663279E-06,-2.21045401397127E-06,0,0,0,0.0694113133479026,0.000134229436938703,-1.56927808445733E-09,1.1407701402417E-09,6.90007512954513E-05,-8.47025339346594E-10,6.90002022598184E-05,0,0,0,0,0,0,package://JJ1_2/meshes/left_wheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://JJ1_2/meshes/left_wheel.STL,,lst_4-3,Coordinate System5,Axis5,left_wheel_joint,continuous,0.014,-0.1,0.17321,0,0,0,left_lower_leg,1,0,0,8,25,-1.57,1.57,,,,,,,,
right_leg,0.01,-0.0449694323881673,-0.0778893416838389,0,0,0,0.101695020621345,0.000516418820763554,9.58709233175815E-21,9.08309461311207E-21,0.000386210698184656,-0.000212287066998379,0.000141082707630677,0,0,0,0,0,0,package://JJ1_2/meshes/right_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JJ1_2/meshes/right_leg.STL,,lst_2-1,Coordinate System2,Axis2,right_hip_joint,revolute,-0.095,0,-0.05,0,0,0,base_link,1,0,0,25,5,-1.57,1.57,,,,,,,,
right_lower_leg,0.0104518404280338,-0.0504218920181224,0.0873332787891406,0,0,0,0.0833200536847904,0.000384202540438722,-1.98939997650006E-07,3.44574183587448E-07,0.000283396943067377,0.000157071553743909,0.000102026335395215,0,0,0,0,0,0,package://JJ1_2/meshes/right_lower_leg.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://JJ1_2/meshes/right_lower_leg.STL,,lst_3-1,Coordinate System3,Axis3,right_lower_joint,revolute,0,-0.1,-0.17321,0,0,0,right_leg,-1,0,0,25,5,-1.57,1.57,,,,,,,,
right_wheel,0.00363351152410418,3.04027841654952E-06,-2.21045401420719E-06,0,0,0,0.0694113133479006,0.000134229436938703,-1.56927808436388E-09,1.14077014027389E-09,6.90007512954512E-05,-8.47025339568194E-10,6.90002022598183E-05,0,0,0,0,0,0,package://JJ1_2/meshes/right_wheel.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://JJ1_2/meshes/right_wheel.STL,,lst_4-1,Coordinate System6,Axis6,right_wheel_joint,continuous,-0.0075,-0.1,0.17321,0,0,0,right_lower_leg,1,0,0,8,25,,,,,,,,,,
